name, time, range
Gol/512x512x1000-1-10,6.2749418960000005,3%
Gol/512x512x1000-2-10,4.7352989585000005,8%
Gol/512x512x1000-3-10,4.132922541500001,5%
Gol/512x512x1000-4-10,4.1913610625,9%
Gol/512x512x1000-5-10,4.252309104,9%
Gol/512x512x1000-6-10,3.7335168545000004,10%
Gol/512x512x1000-7-10,3.7541696665,2%
Gol/512x512x1000-8-10,4.0787117915,3%
Gol/512x512x1000-9-10,4.0322515415,4%
Gol/512x512x1000-10-10,3.9234250625000002,13%
Gol/512x512x1000-11-10,3.8415375000000003,7%
Gol/512x512x1000-12-10,3.7859283335000002,1%
Gol/512x512x1000-13-10,3.8124741460000005,3%
Gol/512x512x1000-14-10,3.846942104,2%
Gol/512x512x1000-15-10,3.9064280625000003,5%
Gol/512x512x1000-16-10,3.8297811665,1%
geomean,4.097625429548186
